Team	 Drive	               Intake	     Shooter	      Loads	    Goals
1511	 4 CIM 6wd OTO Tank	 Box Roller	 Motor kicker	 Catch/HP	 Low and High
340	8 CIM 4 wd Mecanum	El Toro	Pneumatic Catapult	HP	High
