Team	Match	AutoHighHot	AutoHighCold	AutoLowHot	AutoLowCold	AutoMiss	TrussField	TrussHP	TrussFail	High	HighMiss	MiscFoul	MiscStuckBall	MiscDeadBot	Pickups	LowGoal	EtcMobility	EtcNoShow	EtcDefending	EtcDefended	EtcGoalie	EtcGoalieBlock
870	11	0	1	0	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0
527	12	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
2228	12	1	0	0	0	0	2	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0
145	12	1	0	0	0	0	2	0	0	0	1	0	0	0	3	1	1	0	0	1	0	0
4203	12	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
20	13	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
379	13	0	0	0	0	1	1	0	0	1	2	0	0	0	3	2	1	0	0	1	0	0
1665	13	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
116	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
3044	13	0	0	0	0	1	1	0	0	1	1	0	0	0	4	0	1	0	1	0	0	0
250	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
2053	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0
1126	14	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0
5236	14	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0
53	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
229	14	0	0	0	0	1	0	0	0	1	2	0	0	0	2	1	1	0	0	0	0	0
4122	14	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0
1511	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
3015	15	0	1	0	0	0	0	2	0	1	0	0	0	0	3	0	1	0	1	0	0	0
3990	15	0	1	0	0	0	0	0	0	1	2	0	0	0	3	0	1	0	0	1	0	0
174	15	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0
2911	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
4134	15	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
